Ranking IDHM 2010;Município;IDHM 2010
1;São Caetano do Sul;0.862
2;Águas de São Pedro;0.854
3;Florianópolis;0.847
4;Balneário Camboriú;0.845
4;Vitória;0.845
6;Santos;0.840
7;Niterói;0.837
8;Joaçaba;0.827
9;Brasília;0.824
10;Curitiba;0.823
11;Jundiaí;0.822
12;Valinhos;0.819
13;Vinhedo;0.817
14;Santo André;0.815
14;Araraquara;0.815
16;Santana de Parnaíba;0.814
17;Nova Lima;0.813
18;Ilha Solteira;0.812
19;Americana;0.811
20;Belo Horizonte;0.810
21;São José;0.809
21;Joinville;0.809
23;Maringá;0.808
24;São José dos Campos;0.807
25;Blumenau;0.806
25;Presidente Prudente;0.806
25;Rio Fortuna;0.806
28;São Paulo;0.805
28;Assis;0.805
28;Campinas;0.805
28;São Bernardo do Campo;0.805
28;Porto Alegre;0.805
28;São Carlos;0.805
34;Rio Claro;0.803
34;Jaraguá do Sul;0.803
36;Rio do Sul;0.802
37;Bauru;0.801
37;São Miguel do Oeste;0.801
37;Pirassununga;0.801
40;Concórdia;0.800
40;Vila Velha;0.800
40;Taubaté;0.800
40;Ribeirão Preto;0.800
40;Botucatu;0.800
45;Goiânia;0.799
45;Rio de Janeiro;0.799
47;Marília;0.798
47;Sorocaba;0.798
47;Guaratinguetá;0.798
50;São João da Boa Vista;0.797
50;São José do Rio Preto;0.797
50;Fernandópolis;0.797
53;Itapema;0.796
53;Tubarão;0.796
53;Carlos Barbosa;0.796
56;Brusque;0.795
56;Iomerê;0.795
56;Paulínia;0.795
56;Treze Tílias;0.795
56;Itajaí;0.795
61;Holambra;0.793
62;Quatro Pontes;0.791
62;Três Arroios;0.791
62;Nova Odessa;0.791
62;Ipiranga do Sul;0.791
62;Saltinho;0.791
67;Votuporanga;0.790
67;Santa Cruz da Conceição;0.790
67;Adamantina;0.790
67;Chapecó;0.790
71;Cândido Rodrigues;0.789
71;Uberlândia;0.789
71;Barretos;0.789
71;Luzerna;0.789
71;Lagoa dos Três Cantos;0.789
76;Araçatuba;0.788
76;Cruzeiro;0.788
76;Mairiporã;0.788
76;Barra Bonita;0.788
76;Criciúma;0.788
76;Indaiatuba;0.788
76;Caçapava;0.788
76;Fernando de Noronha;0.788
76;Palmas;0.788
85;Itajubá;0.787
85;Espírito Santo do Pinhal;0.787
87;Garibaldi;0.786
87;Pompéia;0.786
87;Porto União;0.786
87;Lins;0.786
87;Barueri;0.786
92;Piracicaba;0.785
92;Amparo;0.785
92;Nova Araçá;0.785
92;Cuiabá;0.785
92;Catanduva;0.785
92;Casca;0.785
92;Tremembé;0.785
92;Monte Aprazível;0.785
100;Santa Fé do Sul;0.784
100;Ribeirão Pires;0.784
100;Ivoti;0.784
100;Jaguariúna;0.784
100;Santa Maria;0.784
100;Salto Veloso;0.784
100;Arujá;0.784
100;Timbó;0.784
100;Campo Grande;0.784
100;Mogi Mirim;0.784
110;Horizontina;0.783
110;Pinhalzinho;0.783
110;Mogi das Cruzes;0.783
113;Cascavel;0.782
113;Caxias do Sul;0.782
113;Pato Branco;0.782
113;Cerquilho;0.782
113;Lavras;0.782
113;São Bento do Sul;0.782
119;Caieiras;0.781
119;Ijuí;0.781
